source_id,mode,subject_policy,page_count,candidates,selected,selected_labels,warning
2021-jour-1-me-21matj1me2page1,numbered_plus_choice_ab,common_plus_choice_a_b,7,7,5,"Exercice 1, commun à tous les candidats (4 points) | Exercice 2, commun à tous les candidats (5 points) | Exercice 3, commun à tous les candidats (6 points) | Exercice A | Exercice B",
2021-jour-2-me-21matj2me3page1,numbered_plus_choice_ab,common_plus_choice_a_b,8,8,5,"Exercice 1, commun à tous les candidats (4 points) | Exercice 2, commun à tous les candidats (5 points) | Exercice 3, commun à tous les candidats (sur 6 points) | Exercice A | Exercice B",
2021-jour-2-me-21matj2me2page1,numbered_plus_choice_ab,common_plus_choice_a_b,6,7,5,"Exercice 1, commun à tous les candidats (4 points) | Exercice 2, commun à tous les candidats (6 points) | Exercice 3, commun à tous les candidats (5 points) | Exercice A | Exercice B",
2021-jour-1-ja-21matj1ja11,numbered_plus_choice_ab,common_plus_choice_a_b,6,7,5,EXERCICE 1 commun `a tous les candidats (5 points) | EXERCICE 2 commun `a tous les candidats (5 points) | EXERCICE 3 commun `a tous les candidats (5 points) | EXERCICE - A | EXERCICE - B,
2021-jour-2-ja-21matj2ja11,numbered_plus_choice_ab,common_plus_choice_a_b,8,7,5,EXERCICE 1 commun `a tous les candidats (5 points) | EXERCICE 2 commun `a tous les candidats (5 points) | EXERCICE 3 commun `a tous les candidats (5 points) | EXERCICE - A | EXERCICE - B,
2022-jour-1-as-22matj1as11,numbered_4,choice_3_of_4,5,4,4,"EXERCICE 1 (7 points) [Probabilités] | EXERCICE 2 (7 points) [Suites] | EXERCICE 3 (7 points) [Fonctions, fonction logarithme] | EXERCICE 4 (7 points) [Géométrie dans l'espace]",
2022-jour-1-g1-22matj1g11page1,numbered_4,choice_3_of_4,6,4,4,Exercice 1 (7 points) Thème : Fonction logarithme | Exercice 2 (7 points) Thème : Géométrie dans l'espace | Exercice 3 (7 points) Thèmes : Fonction exponentielle et suite | Exercice 4 (7 points) Thème : Probabilités,
2022-jour-1-me-22matj1me3page1,numbered_4,choice_3_of_4,5,4,4,"Exercice 1 (7 points) Thèmes : fonctions, suites | Exercice 2 (7 points) Thème : probabilités | Exercice 3 (7 points) Thèmes : fonctions logarithme et exponentielle, suites | Exercice 4 (7 points) Thème : géométrie dans l'espace",
2022-jour-1-nc-22matj1nc1page,numbered_4,choice_3_of_4,6,4,4,EXERCICE 1 (7 points) | EXERCICE 2 (7 points) | EXERCICE 3 (7 points) | EXERCICE 4 (7 points),
2022-jour-2-as-22matj2as11,numbered_4,choice_3_of_4,5,4,4,"EXERCICE 1 (7 points) [probabilités] | EXERCICE 2 (7 points) [Fonctions, fonction logarithme] | EXERCICE 3 (7 points) [Suites] | EXERCICE 4 (7 points) [Géométrie dans l'espace]",
2022-jour-2-g1-22matj2g11page1,numbered_4,choice_3_of_4,6,4,4,Exercice n°1 (7 points) Thème : Fonction exponentielle | Exercice 2 (7 points) Thèmes : Fonction logarithme et suite | Exercice 3 (7 points) Thème : Géométrie dans l'espace | Exercice 4 (7 points) Thème : Probabilités,
2022-jour-2-me-22matj2me3page1,numbered_4,choice_3_of_4,6,4,4,"Exercice 1 (7 points) Thème : probabilités | Exercice 2 (7 points) Thèmes : suites, fonctions | Exercice 3 (7 points) Thèmes : fonction logarithme, suites | Exercice 4 (7 points) Thème : géométrie dans l'espace",
2022-jour-2-nc-22matj2nc1page,numbered_4,choice_3_of_4,6,4,4,EXERCICE 1 (7 points) | EXERCICE 2 (7 points) | EXERCICE 3 (7 points) | EXERCICE 4 (7 points),
2023-jour-1-an-23matj1an1page1,numbered_4,unknown,7,4,4,Exercice 1 (5 points) | Exercice 2 (5 points) | Exercice 3 (5 points) | Exercice 4 (5 points),
2023-jour-2-ja-23matj2ja11,numbered_4,unknown,7,4,4,EXERCICE 1 (5 points) | EXERCICE 2 (6 points) | EXERCICE 3 (4 points) | EXERCICE 4 (5 points),
2023-jour-1-lr-23matj1lr1page,numbered_4,unknown,5,4,4,EXERCICE 1 (5 points) | EXERCICE 2 (5 points) | EXERCICE 3 (5 points) | EXERCICE 4 (5 points),
