enabled,id,titre,annee,session,zone,pdf_path,sha256,notes
1,2021-jour-1-me-21matj1me2page1,"Mathématiques 2021 — Jour 1 — Métropole, Antilles-Guyane, La Réunion, Mayotte",2021,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",pdf/21-matj1mepdf-91146.pdf,6523b30e94361824018545de31f295ac02f5d34c1a6ac61b4765a4b7f09ba796,Code détecté (première page) : 21MATJ1ME2PAGE1 ; zone=ME.
1,2021-jour-2-me-21matj2me3page1,"Mathématiques 2021 — Jour 2 — Métropole, Antilles-Guyane, La Réunion, Mayotte",2021,Jour 2,"Métropole, Antilles-Guyane, La Réunion, Mayotte",pdf/21-matj2me3pdf-91245.pdf,ca3db2ccb7996a13aa46e9fc567908bebddb6c91d3c5e0d877347e03d7f44b3c,Code détecté (première page) : 21MATJ2ME3PAGE1 ; zone=ME.
1,2021-jour-2-me-21matj2me2page1,"Mathématiques 2021 — Jour 2 — Métropole, Antilles-Guyane, La Réunion, Mayotte",2021,Jour 2,"Métropole, Antilles-Guyane, La Réunion, Mayotte",pdf/21-matj2mepdf-91149.pdf,2761d15693b0747f6bd16fdbd2baf2e4ee34aaf72e9b43453c2f5cc2b4e45e9c,Code détecté (première page) : 21MATJ2ME2PAGE1 ; zone=ME.
1,2021-jour-1-ja-21matj1ja11,Mathématiques 2021 — Jour 1 — Asie,2021,Jour 1,Asie,pdf/21matj1ja1pdf-91491.pdf,c756a7e95f290b599aa003f9f38058a39e184f78f9686c784df0d1820f509844,Code détecté (première page) : 21MATJ1JA11 ; zone=JA.
1,2021-jour-2-ja-21matj2ja11,Mathématiques 2021 — Jour 2 — Asie,2021,Jour 2,Asie,pdf/21matj2ja1pdf-91494.pdf,cc0ad8120bebe11484dcf9b5f3e4c3f9557bfe10d94ea4fb7772d4300c8e92b0,Code détecté (première page) : 21MATJ2JA11 ; zone=JA.
1,2022-jour-1-as-22matj1as11,Mathématiques 2022 — Jour 1 — Amérique du Sud,2022,Jour 1,Amérique du Sud,pdf/22-matj1as1pdf-97182.pdf,ea9f77ee714637601cbee29fe15beda18f537c8b07c6b0386128bcbe6163cf03,Code détecté (première page) : 22MATJ1AS11 ; zone=AS.
1,2022-jour-1-g1-22matj1g11page1,Mathématiques 2022 — Jour 1 — Centres étrangers groupe 1,2022,Jour 1,Centres étrangers groupe 1,pdf/22-matj1g11pdf-100098.pdf,ef99f8e9b31e0fe05bbefe78ca3ef6e77ba6aee40a7d761c523145b8c00366d4,Code détecté (première page) : 22MATJ1G11PAGE1 ; zone=G1.
1,2022-jour-1-me-22matj1me3page1,"Mathématiques 2022 — Jour 1 — Métropole, Antilles-Guyane, La Réunion, Mayotte",2022,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",pdf/22-matj1me3pdf-97047.pdf,5c63ae7eb893851d4d898100265defe0fe0aaa301e51913f6b0f839daafe9a67,Code détecté (première page) : 22MATJ1ME3PAGE1 ; zone=ME.
1,2022-jour-1-nc-22matj1nc1page,Mathématiques 2022 — Jour 1 — Nouvelle-Calédonie,2022,Jour 1,Nouvelle-Calédonie,pdf/22-matj1nc1pdf-96735.pdf,66f78a03e892bb20e22056e9cee2a7440d561e9951786866794890d4d9e7e2fc,Code détecté (première page) : 22MATJ1NC1PAGE ; zone=NC.
1,2022-jour-2-as-22matj2as11,Mathématiques 2022 — Jour 2 — Amérique du Sud,2022,Jour 2,Amérique du Sud,pdf/22-matj2as1pdf-97185.pdf,21f51ff2ca14cc00bb650c389075e172c9724f527774b30d5e99d5ec1612990f,Code détecté (première page) : 22MATJ2AS11 ; zone=AS.
