source_id,nb_exercices,numeros,points,pages,theme_hints,titres,warnings
2021-jour-1-an-21matj1an1page,5,1 | 2 | 3 | A | B,5 | 5 | 5 | 5 | 5,2 | 3 | 4 | 5 | 6,bernoulli-binomiale | suites | suites | derivation-convexite | suites,commun à tous les candidats | commun à tous les candidats | commun à tous les candidats | Exercice A au choix | Exercice B au choix,
2021-jour-1-g1-21matj1g11page1,5,1 | 2 | 3 | A | B,5 | 5 | 5 | 5 | 5,"2,3 | 4,5 | 6,7 | 8 | 9",bernoulli-binomiale | bernoulli-binomiale | suites | geometrie-reperage | primitives-equations-differentielles,commun à tous les candidats | commun à tous les candidats | commun à tous les candidats | Géométrie dans l'espace | Équations différentielles,
2021-jour-1-ja-21matj1ja11,5,1 | 2 | 3 | A | B,5 | 5 | 5 | 5 | 5,2 | 3 | 4 | 5 | 6,suites | geometrie-orthogonalite-distances | bernoulli-binomiale | derivation-convexite | derivation-convexite,commun `a tous les candidats | commun `a tous les candidats | commun `a tous les candidats | Exercice A au choix | Exercice B au choix,
2021-jour-1-me-21matj1me2page1,5,1 | 2 | 3 | A | B,4 | 5 | 6 | 5 | 5,"2 | 3 | 4,5 | 6 | 7",derivation-convexite | bernoulli-binomiale | suites | geometrie-reperage | derivation-convexite,commun à tous les candidats | commun à tous les candidats | commun à tous les candidats | Exercice A au choix | Exercice B au choix,
2021-jour-2-g1-21matj2g11page1,5,1 | 2 | 3 | A | B,5 | 5 | 5 | 5 | 5,"2,3 | 4,5 | 6 | 7 | 8,9",bernoulli-binomiale | suites | geometrie-reperage | bernoulli-binomiale | primitives-equations-differentielles,commun à tous les candidats | commun à tous les candidats | commun à tous les candidats | Fonction 𝐥𝐧 | Équation différentielle,
2021-jour-2-ja-21matj2ja11,5,1 | 2 | 3 | A | B,5 | 5 | 5 | 5 | 5,"2,3 | 4 | 5 | 6 | 7,8",suites | geometrie-orthogonalite-distances | bernoulli-binomiale | suites | suites,commun `a tous les candidats | commun `a tous les candidats | commun `a tous les candidats | Exercice A au choix | Exercice B au choix,
2021-jour-2-me-21matj2me2page1,5,1 | 2 | 3 | A | B,4 | 6 | 5 | 5 | 5,2 | 3 | 4 | 5 | 6,geometrie-reperage | bernoulli-binomiale | suites | logarithme | derivation-convexite,commun à tous les candidats | commun à tous les candidats | commun à tous les candidats | Exercice A au choix | Exercice B au choix,
2021-jour-2-me-21matj2me3page1,5,1 | 2 | 3 | A | B,4 | 5 |  | 5 | 5,"2 | 3 | 4 | 5 | 6,7",bernoulli-binomiale | geometrie-orthogonalite-distances | geometrie-orthogonalite-distances | suites | logarithme,commun à tous les candidats | commun à tous les candidats | commun à tous les candidats (sur 6 points) | Exercice A au choix | Exercice B au choix,
2021-jour-2-po-21matj2po1page1,5,1 | 2 | 3 | A | B,5 | 5 | 5 | 5 | 5,"2 | 3 | 4,5 | 6,7 | 8,9",suites | bernoulli-binomiale | geometrie-orthogonalite-distances | derivation-convexite | logarithme,commun à tous les candidats | commun à tous les candidats | commun à tous les candidats | Exercice A au choix | Exercice B au choix,
2022-jour-1-an-22matj1an1page,4,1 | 2 | 3 | 4,7 | 7 | 7 | 7,2 | 3 | 4 | 5,bernoulli-binomiale | suites | suites | derivation-convexite,probabilités | suites | géométrie dans l'espace | fonction exponentielle,
2022-jour-1-as-22matj1as11,4,1 | 2 | 3 | 4,7 | 7 | 7 | 7,"2,3 | 3 | 4 | 5",bernoulli-binomiale | suites | logarithme | suites,"[Probabilités] | [Suites] | [Fonctions, fonction logarithme] | [Géométrie dans l'espace]",
2022-jour-1-g1-22matj1g11page1,4,1 | 2 | 3 | 4,7 | 7 | 7 | 7,"2,3 | 3 | 4,5 | 5,6",logarithme | geometrie-reperage | suites | bernoulli-binomiale,Fonction logarithme | Géométrie dans l'espace | Fonction exponentielle et suite | Probabilités,
2022-jour-1-ja-22matj1ja11,4,1 | 2 | 3 | 4,7 | 7 | 7 | 7,"2,3 | 4,5 | 6 | 7,8,9",bernoulli-binomiale | suites | geometrie-orthogonalite-distances | logarithme,Principaux domaines abord´es : | Principaux domaines abord´es : | Principaux domaines abord´es : | Principaux domaines abord´es :,
2022-jour-1-lr-22matj1lr1page,4,1 | 2 | 3 | 4,7 | 7 | 7 | 7,"2,3 | 4,5 | 6 | 7",bernoulli-binomiale | suites | suites | geometrie-reperage,Principaux domaines abordés : | Principaux domaines abordés : | Principaux domaines abordés : | Principaux domaines abordés :,
2022-jour-1-me-22matj1me1page1,4,1 | 2 | 3 | 4,7 | 7 | 7 | 7,"2,3 | 3 | 4 | 5",suites | geometrie-reperage | bernoulli-binomiale | derivation-convexite,"fonction exponentielle, suites | géométrie dans l'espace | probabilités | fonctions numériques",
2022-jour-1-me-22matj1me3page1,4,1 | 2 | 3 | 4,7 | 7 | 7 | 7,"2,3 | 3,4 | 4,5 | 5",suites | bernoulli-binomiale | suites | geometrie-reperage,"fonctions, suites | probabilités | fonctions logarithme et exponentielle, suites | géométrie dans l'espace",
2022-jour-1-nc-22matj1nc1page,4,1 | 2 | 3 | 4,7 | 7 | 7 | 7,"2 | 3 | 4 | 5,6",derivation-convexite | suites | geometrie-reperage | bernoulli-binomiale,Principaux domaines abordés : | Principaux domaines abordés : | Principaux domaines abordés : | Principaux domaines abordés :,
2022-jour-1-po-22matj1po1page,4,1 | 2 | 3 | 4,7 | 7 | 7 | 7,"2,3,4 | 5 | 6 | 7",suites | bernoulli-binomiale | suites | geometrie-reperage,"fonctions, suites | probabilités | suites | géométrie dans le plan et dans l'espace",
2022-jour-1-po-22matj1po3page,4,1 | 2 | 3 | 4,7 | 7 | 7 | 7,"2,3 | 4,5 | 6,7 | 8,9",bernoulli-binomiale | suites | derivation-convexite | geometrie-reperage,"probabilités | suites, fonctions | fonctions | géométrie dans le plan et dans l'espace",
2022-jour-2-an-22matj2an1page,4,1 | 2 | 3 | 4,7 | 7 | 7 | 7,"2,3 | 4 | 5,6 | 7,8",bernoulli-binomiale | derivation-convexite | geometrie-reperage | bernoulli-binomiale,"probabilités, suites | fonctions, fonction exponentielle | géométrie dans l'espace | fonction logarithme népérien, probabilités",
2022-jour-2-as-22matj2as11,4,1 | 2 | 3 | 4,7 | 7 | 7 | 7,"2,3 | 3,4 | 4,5 | 5",bernoulli-binomiale | derivation-convexite | suites | geometrie-reperage,"[probabilités] | [Fonctions, fonction logarithme] | [Suites] | [Géométrie dans l'espace]",
2022-jour-2-g1-22matj2g11page1,4,1 | 2 | 3 | 4,7 | 7 | 7 | 7,"2,3 | 4 | 5 | 6",derivation-convexite | suites | geometrie-reperage | bernoulli-binomiale,Fonction exponentielle | Fonction logarithme et suite | Géométrie dans l'espace | Probabilités,
2022-jour-2-ja-22matj2ja11,4,1 | 2 | 3 | 4,7 | 7 | 7 | 7,"2 | 3,4 | 5,6 | 7,8",geometrie-orthogonalite-distances | suites | bernoulli-binomiale | bernoulli-binomiale,Principaux domaines abord´es : | Principaux domaines abord´es : | Principaux domaines abord´es : | Principaux domaines abord´es :,
2022-jour-2-lr-22matj2lr1page,4,1 | 2 | 3 | 4,7 | 7 | 7 | 7,"2 | 3 | 4,5 | 6,7",bernoulli-binomiale | geometrie-reperage | suites | suites,Principaux domaines abordés : | Principaux domaines abordés : | Principaux domaines abordés : | Principaux domaines abordés :,
2022-jour-2-me-22matj2me1page1,4,1 | 2 | 3 | 4,7 | 7 | 7 | 7,"2 | 3,4 | 4 | 5,6,7",bernoulli-binomiale | suites | geometrie-reperage | derivation-convexite,"probabilités | fonctions numériques et suites | géométrie dans l'espace | fonctions numériques, fonction exponentielle",
2022-jour-2-me-22matj2me3page1,4,1 | 2 | 3 | 4,7 | 7 | 7 | 7,"2,3 | 3,4 | 4,5 | 5,6",bernoulli-binomiale | suites | suites | suites,"probabilités | suites, fonctions | fonction logarithme, suites | géométrie dans l'espace",
2022-jour-2-nc-22matj2nc1page,4,1 | 2 | 3 | 4,7 | 7 | 7 | 7,"2 | 3 | 4 | 5,6",bernoulli-binomiale | logarithme | geometrie-reperage | suites,Principaux domaines abordés : | Principaux domaines abordés : | Principaux domaines abordés : | Principaux domaines abordés :,
2022-jour-2-po-22matj2po1page,4,1 | 2 | 3 | 4,7 | 7 | 7 | 7,"2,3 | 4 | 5 | 6,7",bernoulli-binomiale | bernoulli-binomiale | suites | geometrie-reperage,"fonctions, primitives, probabilités | probabilités | suites, fonctions | géométrie dans le plan et dans l'espace",
2023-jour-1-an-23matj1an1page1,4,1 | 2 | 3 | 4,5 | 5 | 5 | 5,"2,3 | 4 | 5,6 | 6,7",bernoulli-binomiale | logarithme | geometrie-orthogonalite-distances | suites,"Dans un souci d'améliorer sa politique en matière de développement durable, une | On considère la fonction 𝑓 définie sur ℝ par : | Pour chaque question, une seule des quatre réponses proposées est exacte. Le | On considère la suite (𝑢 ) définie par 𝑢 = 5 et pour tout entier naturel 𝑛,",
2023-jour-1-g1-23matj1g11page1,4,1 | 2 | 3 | 4,5 | 6 | 6 | 3,"2,3 | 4,5 | 6 | 7",bernoulli-binomiale | bernoulli-binomiale | geometrie-orthogonalite-distances | ,"des quatre propositions est exacte. Indiquer sur la copie le numéro de la question et | Les deux parties de cet exercice sont indépendantes. | On considère le prisme droit , | Un biologiste a modélisé l'évolution d'une population de bactéries (en milliers d'entités)",
2023-jour-1-li-23matj1li1,4,1 | 2 | 3 | 4,5 | 5 | 5 | 5,"2 | 3,4 | 5 | 6",logarithme | bernoulli-binomiale | suites | geometrie-orthogonalite-distances,"Partie A | Dans un souci de préservation de l'environnement, Monsieur Durand décide de se rendre | Pour chaque question, une seule des quatre réponses proposées est exacte. | Dans l'espace muni d'un repère orthonormé (𝑂 ; 𝑖⃗ , 𝑗 , 𝑘⃗ ), on considère les",
2023-jour-1-lr-23matj1lr1page,4,1 | 2 | 3 | 4,5 | 5 | 5 | 5,2 | 3 | 4 | 5,bernoulli-binomiale | derivation-convexite | suites | geometrie-orthogonalite-distances,"Une entreprise appelle des personnes par téléphone pour leur vendre un produit. | On considère la fonction (cid:1858) définie sur ]0 ; +∞[ par : | On considère la suite ((cid:1873) ) définie par (cid:1873) = 3 et, pour tout entier naturel (cid:1866), | On considère le cube ABCDEFGH ci-dessous tel que AB = 1.",
2023-jour-1-me-23matj1me1page1,4,1 | 2 | 3 | 4,5 | 5 | 5 | 5,"2,3 | 3 | 4,5 | 5",bernoulli-binomiale | logarithme | suites | geometrie-orthogonalite-distances,"Pour chaque question, une seule des quatre réponses proposées est exacte. Le | On considère la fonction 𝑓 définie sur ]0 ; +∞[ par 𝑓(𝑥) = 𝑥2 − 8 ln(𝑥), où ln désigne | Une entreprise a créé une Foire Aux Questions (« FAQ ») sur son site internet. | On considère le cube 𝐴𝐵𝐶𝐷𝐸𝐹𝐺𝐻",
2023-jour-1-nc-23matj1nc1page,4,1 | 2 | 3 | 4,5 | 5 | 5 | 5,2 | 3 | 4 | 5,bernoulli-binomiale | suites | suites | geometrie-orthogonalite-distances,"Une entreprise de location de bateaux de tourisme propose à ses clients deux types | On considère la suite ((cid:1873) ) définie par (cid:1873) = 3 et, pour tout entier naturel (cid:1866), par : | une seule des quatre réponses proposées est exacte. Pour répondre, indiquer sur la copie le | On considère la fonction (cid:1858) définie pour tout réel (cid:1876) de l'intervalle ]0; +∞[ par :",
2023-jour-1-po-23matj1po1page,4,1 | 2 | 3 | 4,4 | 5 | 5 | 6,"2,3 | 4 | 5 | 6",bernoulli-binomiale | geometrie-reperage | derivation-convexite | suites,"probabilités | géométrie dans l'espace | fonction exponentielle, algorithmique | suites, fonctions",
2023-jour-2-g1-23matj2g11page1,4,1 | 2 | 3 | 4,5 | 6 | 6 | 3,"2,3 | 4 | 5 | 6",bernoulli-binomiale | suites | geometrie-orthogonalite-distances | bernoulli-binomiale,quatre propositions est exacte. Indiquer sur la copie le numéro de la question et la lettre | On considère la fonction définie sur par . | La figure ci-dessous correspond à la maquette d'un projet architectural. | Une société de production s'interroge sur l'opportunité de programmer un jeu télévisé. Ce,
